,schoolshort,studentid,gradelevelduringadminyear,ell,lunch_recode,sped_recode,ethnicity_recode,pre_score,lexilelevel,interim_score
4710,HUNTER,674497,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,620.0,below_gl_4_6_yrs,675.0
4711,HUNTER,674509,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,570.0,between_6_yrs_fr,690.0
4712,HUNTER,674521,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,625.0,below_gl_4_6_yrs,635.0
4713,HUNTER,674545,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,710.0,below_gl_4_6_yrs,825.0
4714,HUNTER,674557,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,285.0,foundational_reader,410.0
4715,HUNTER,674569,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,grade_level,1075.0
4716,CRMA4,674581,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,825.0,below_gl_1_3_yrs,895.0
4717,HUNTER,674593,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,810.0,below_gl_1_3_yrs,815.0
4718,HUNTER,674605,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,260.0,foundational_reader,270.0
4719,HUNTER,674641,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,255.0,foundational_reader,375.0
4720,HUNTER,674665,7.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,745.0,below_gl_4_6_yrs,840.0
4721,HUNTER,674677,7.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,210.0,foundational_reader,445.0
4722,HUNTER,674689,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,400.0,foundational_reader,545.0
4723,HUNTER,674701,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,740.0,below_gl_4_6_yrs,790.0
4724,HUNTER,674713,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,815.0,below_gl_1_3_yrs,995.0
4725,CRMA4,674725,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,540.0,between_6_yrs_fr,640.0
4726,HUNTER,674737,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,985.0,grade_level,1030.0
4727,HUNTER,674749,7.0,EL,Free/Reduced,Special Education,Hispanic or Latino,445.0,between_6_yrs_fr,495.0
4728,HUNTER,674761,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,590.0,between_6_yrs_fr,640.0
4729,HUNTER,674773,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,685.0,below_gl_4_6_yrs,600.0
4730,HUNTER,674785,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,845.0,below_gl_1_3_yrs,845.0
4731,HUNTER,674809,7.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,600.0,below_gl_4_6_yrs,625.0
